user ID;user name;Recommended product (ID);Recommended product (name);score;path;explanation
1;196;1584;Symphonie pastorale, La;0.0;['[BOS]', 'U1', 'R25', 'I327', 'R11', 'E1653', 'R11', 'I1584'];Symphonie pastorale, La is recommend to you because you watched Cop Land also film.content_rating.film by m.0kprc8
2;186;1180;I Love Trouble;30.0;['[BOS]', 'U2', 'R25', 'I640', 'R3', 'E1610', 'R3', 'I1180'];I Love Trouble is recommend to you because you watched Cook the Thief His Wife & Her Lover, The also film.film_genre.films_in_this_genre by m.02822
2;186;1225;Angus;31.0;['[BOS]', 'U2', 'R25', 'I640', 'R3', 'E1610', 'R3', 'I1225'];Angus is recommend to you because you watched Cook the Thief His Wife & Her Lover, The also film.film_genre.films_in_this_genre by m.02822
2;186;820;Space Jam;32.0;['[BOS]', 'U2', 'R25', 'I640', 'R3', 'E1610', 'R3', 'I820'];Space Jam is recommend to you because you watched Cook the Thief His Wife & Her Lover, The also film.film_genre.films_in_this_genre by m.02822
1;196;1420;Gilligan's Island: The Movie;1.0;['[BOS]', 'U1', 'R25', 'I505', 'R11', 'E1605', 'R11', 'I1420'];Gilligan's Island: The Movie is recommend to you because you watched Dial M for Murder also film.content_rating.film by m.0kprd8
2;186;117;Rock, The;34.0;['[BOS]', 'U2', 'R25', 'I640', 'R3', 'E1610', 'R3', 'I117'];Rock, The is recommend to you because you watched Cook the Thief His Wife & Her Lover, The also film.film_genre.films_in_this_genre by m.02822
2;186;793;Crooklyn;35.0;['[BOS]', 'U2', 'R25', 'I640', 'R3', 'E1610', 'R3', 'I793'];Crooklyn is recommend to you because you watched Cook the Thief His Wife & Her Lover, The also film.film_genre.films_in_this_genre by m.02822
1;196;970;Hear My Song;2.0;['[BOS]', 'U1', 'R25', 'I327', 'R11', 'E1653', 'R11', 'I970'];Hear My Song is recommend to you because you watched Cop Land also film.content_rating.film by m.0kprc8
1;196;983;Rich Man's Wife, The;3.0;['[BOS]', 'U1', 'R25', 'I327', 'R11', 'E1653', 'R11', 'I983'];Rich Man's Wife, The is recommend to you because you watched Cop Land also film.content_rating.film by m.0kprc8
2;186;640;Cook the Thief His Wife & Her Lover, The;36.0;['[BOS]', 'U2', 'R25', 'I640', 'R3', 'E1610', 'R3', 'I640'];Cook the Thief His Wife & Her Lover, The is recommend to you because you watched Cook the Thief His Wife & Her Lover, The also film.film_genre.films_in_this_genre by m.02822
1;196;1257;Designated Mourner, The;5.0;['[BOS]', 'U1', 'R25', 'I327', 'R11', 'E1653', 'R11', 'I1257'];Designated Mourner, The is recommend to you because you watched Cop Land also film.content_rating.film by m.0kprc8
1;196;885;Phantoms;6.0;['[BOS]', 'U1', 'R25', 'I327', 'R11', 'E1653', 'R11', 'I885'];Phantoms is recommend to you because you watched Cop Land also film.content_rating.film by m.0kprc8
2;186;1199;Cemetery Man (Dellamorte Dellamore);38.0;['[BOS]', 'U2', 'R25', 'I640', 'R3', 'E1610', 'R3', 'I1199'];Cemetery Man (Dellamorte Dellamore) is recommend to you because you watched Cook the Thief His Wife & Her Lover, The also film.film_genre.films_in_this_genre by m.02822
2;186;966;Affair to Remember, An;39.0;['[BOS]', 'U2', 'R25', 'I640', 'R3', 'E1610', 'R3', 'I966'];Affair to Remember, An is recommend to you because you watched Cook the Thief His Wife & Her Lover, The also film.film_genre.films_in_this_genre by m.02822
1;196;1100;What Happened Was...;7.0;['[BOS]', 'U1', 'R25', 'I327', 'R11', 'E1653', 'R11', 'I1100'];What Happened Was... is recommend to you because you watched Cop Land also film.content_rating.film by m.0kprc8
1;196;1185;In the Army Now;8.0;['[BOS]', 'U1', 'R25', 'I327', 'R11', 'E1653', 'R11', 'I1185'];In the Army Now is recommend to you because you watched Cop Land also film.content_rating.film by m.0kprc8
1;196;171;Delicatessen;9.0;['[BOS]', 'U1', 'R25', 'I327', 'R11', 'E1653', 'R11', 'I171'];Delicatessen is recommend to you because you watched Cop Land also film.content_rating.film by m.0kprc8
1;196;204;Back to the Future;10.0;['[BOS]', 'U1', 'R25', 'I505', 'R25', 'U826', 'R25', 'I204'];Back to the Future is recommend to you because you watched Dial M for Murder also watched by 835
1;196;344;Apostle, The;11.0;['[BOS]', 'U1', 'R25', 'I505', 'R25', 'U474', 'R25', 'I344'];Apostle, The is recommend to you because you watched Dial M for Murder also watched by 470
1;196;1249;For Love or Money;12.0;['[BOS]', 'U1', 'R25', 'I637', 'R9', 'E3769', 'R9', 'I1249'];For Love or Money is recommend to you because you watched Howling, The also film.film.produced_by by m.06cgy
2;186;1329;Low Life, The;40.0;['[BOS]', 'U2', 'R25', 'I61', 'R18', 'E1691', 'R18', 'I1329'];Low Life, The is recommend to you because you watched Three Colors: White also film.film.production_companies by m.086k8
1;196;434;Forbidden Planet;14.0;['[BOS]', 'U1', 'R25', 'I505', 'R25', 'U826', 'R25', 'I434'];Forbidden Planet is recommend to you because you watched Dial M for Murder also watched by 835
2;186;1151;Original Gangstas;41.0;['[BOS]', 'U2', 'R25', 'I61', 'R18', 'E1691', 'R12', 'I1151'];Original Gangstas is recommend to you because you watched Three Colors: White also film.film.production_companies by m.086k8
2;186;1098;Flirting With Disaster;42.0;['[BOS]', 'U2', 'R25', 'I61', 'R18', 'E1691', 'R18', 'I1098'];Flirting With Disaster is recommend to you because you watched Three Colors: White also film.film.production_companies by m.086k8
1;196;96;Terminator 2: Judgment Day;15.0;['[BOS]', 'U1', 'R25', 'I505', 'R25', 'U826', 'R25', 'I96'];Terminator 2: Judgment Day is recommend to you because you watched Dial M for Murder also watched by 835
1;196;63;Santa Clause, The;16.0;['[BOS]', 'U1', 'R25', 'I505', 'R25', 'U826', 'R25', 'I63'];Santa Clause, The is recommend to you because you watched Dial M for Murder also watched by 835
1;196;69;Forrest Gump;17.0;['[BOS]', 'U1', 'R25', 'I505', 'R25', 'U826', 'R25', 'I69'];Forrest Gump is recommend to you because you watched Dial M for Murder also watched by 835
1;196;645;Paris Is Burning;18.0;['[BOS]', 'U1', 'R25', 'I505', 'R25', 'U826', 'R25', 'I645'];Paris Is Burning is recommend to you because you watched Dial M for Murder also watched by 835
2;186;1534;Twin Town;45.0;['[BOS]', 'U2', 'R25', 'I61', 'R18', 'E1691', 'R18', 'I1534'];Twin Town is recommend to you because you watched Three Colors: White also film.film.production_companies by m.086k8
2;186;1435;Steal Big, Steal Little;46.0;['[BOS]', 'U2', 'R25', 'I640', 'R3', 'E1610', 'R3', 'I1435'];Steal Big, Steal Little is recommend to you because you watched Cook the Thief His Wife & Her Lover, The also film.film_genre.films_in_this_genre by m.02822
2;186;1336;Kazaam;47.0;['[BOS]', 'U2', 'R25', 'I61', 'R18', 'E1691', 'R18', 'I1336'];Kazaam is recommend to you because you watched Three Colors: White also film.film.production_companies by m.086k8
2;186;505;Dial M for Murder;48.0;['[BOS]', 'U2', 'R25', 'I640', 'R3', 'E1610', 'R3', 'I505'];Dial M for Murder is recommend to you because you watched Cook the Thief His Wife & Her Lover, The also film.film_genre.films_in_this_genre by m.02822
2;186;933;Funeral, The;49.0;['[BOS]', 'U2', 'R25', 'I640', 'R3', 'E1610', 'R3', 'I933'];Funeral, The is recommend to you because you watched Cook the Thief His Wife & Her Lover, The also film.film_genre.films_in_this_genre by m.02822
1;196;148;Ghost and the Darkness, The;21.0;['[BOS]', 'U1', 'R25', 'I505', 'R25', 'U474', 'R25', 'I148'];Ghost and the Darkness, The is recommend to you because you watched Dial M for Murder also watched by 470
1;196;1387;Fall;22.0;['[BOS]', 'U1', 'R25', 'I637', 'R9', 'E3769', 'R9', 'I1387'];Fall is recommend to you because you watched Howling, The also film.film.produced_by by m.06cgy
1;196;938;Smile Like Yours, A;24.0;['[BOS]', 'U1', 'R25', 'I637', 'R9', 'E3769', 'R9', 'I938'];Smile Like Yours, A is recommend to you because you watched Howling, The also film.film.produced_by by m.06cgy
2;186;1185;In the Army Now;50.0;['[BOS]', 'U2', 'R25', 'I640', 'R25', 'U320', 'R25', 'I1185'];In the Army Now is recommend to you because you watched Cook the Thief His Wife & Her Lover, The also watched by 86
2;186;69;Forrest Gump;51.0;['[BOS]', 'U2', 'R25', 'I640', 'R25', 'U567', 'R25', 'I69'];Forrest Gump is recommend to you because you watched Cook the Thief His Wife & Her Lover, The also watched by 569
2;186;476;First Wives Club, The;53.0;['[BOS]', 'U2', 'R25', 'I157', 'R18', 'E1625', 'R18', 'I476'];First Wives Club, The is recommend to you because you watched Platoon also film.film.production_companies by m.01795t
2;186;40;To Wong Foo, Thanks for Everything! Julie Newmar;54.0;['[BOS]', 'U2', 'R25', 'I640', 'R25', 'U567', 'R25', 'I40'];To Wong Foo, Thanks for Everything! Julie Newmar is recommend to you because you watched Cook the Thief His Wife & Her Lover, The also watched by 569
2;186;1124;Farewell to Arms, A;56.0;['[BOS]', 'U2', 'R25', 'I640', 'R25', 'U508', 'R25', 'I1124'];Farewell to Arms, A is recommend to you because you watched Cook the Thief His Wife & Her Lover, The also watched by 515
2;186;564;Tales from the Hood;57.0;['[BOS]', 'U2', 'R25', 'I1387', 'R6', 'E10844', 'R6', 'I564'];Tales from the Hood is recommend to you because you watched Fall also film.film.award_nomination by m.09td7p
2;186;400;Little Rascals, The;58.0;['[BOS]', 'U2', 'R25', 'I640', 'R25', 'U567', 'R25', 'I400'];Little Rascals, The is recommend to you because you watched Cook the Thief His Wife & Her Lover, The also watched by 569
1;196;170;Cinema Paradiso;26.0;['[BOS]', 'U1', 'R25', 'I385', 'R12', 'E1736', 'R18', 'I170'];Cinema Paradiso is recommend to you because you watched True Lies also film.production_company.films by m.09b3v
1;196;476;First Wives Club, The;27.0;['[BOS]', 'U1', 'R25', 'I385', 'R12', 'E1736', 'R18', 'I476'];First Wives Club, The is recommend to you because you watched True Lies also film.production_company.films by m.09b3v
1;196;563;Stephen King's The Langoliers;29.0;['[BOS]', 'U1', 'R25', 'I385', 'R12', 'E1736', 'R18', 'I563'];Stephen King's The Langoliers is recommend to you because you watched True Lies also film.production_company.films by m.09b3v
